 type    delay1    delay2    orientation    order    axis_response    A_DC    A_DC_dist    Q_DC    A_DF    A_DF_dist    Q_DF    A_DVF    Q_DVF    A_DVF_dist    Q_DVF_dist    A_T    Q_T    A_NT1    A_NT2    A_dist    Q_dist    A_NT1_dist    A_NT2_dist    distance_t_dist  
 1.0    7.0    5.0    -1.0    1.0    1.0    140.0    128.1    2.0    58.0    34.3    1.0    248.0    3.0    322.0    4.0    140.0    2.0    58.0    248.0    128.1    2.0    34.3    322.0    11.9  
 3.0    7.0    5.0    0.0    1.0    1.0    137.0    122.6    2.0    42.0    21.2    1.0    242.0    3.0    339.0    4.0    242.0    3.0    137.0    42.0    339.0    4.0    122.6    21.2    97.0  
 1.0    7.0    12.0    -1.0    2.0    0.0    34.0    21.4    1.0    328.0    306.4    4.0    121.0    2.0    213.0    3.0    34.0    1.0    328.0    121.0    21.4    1.0    306.4    213.0    12.6  
 3.0    7.0    5.0    0.0    1.0    0.0    291.0    304.1    4.0    221.0    243.8    3.0    119.0    2.0    39.0    1.0    119.0    2.0    291.0    221.0    39.0    1.0    304.1    243.8    80.0  
 3.0    7.0    12.0    0.0    2.0    1.0    47.0    27.9    1.0    328.0    301.3    4.0    246.0    3.0    121.0    2.0    246.0    3.0    47.0    328.0    121.0    2.0    27.9    301.3    125.0  
 3.0    7.0    12.0    0.0    2.0    1.0    292.0    308.9    4.0    128.0    149.0    2.0    49.0    1.0    233.0    3.0    49.0    1.0    292.0    128.0    233.0    3.0    308.9    149.0    176.0  
 1.0    7.0    12.0    1.0    2.0    1.0    53.0    69.4    1.0    112.0    136.1    2.0    233.0    3.0    338.0    4.0    53.0    1.0    112.0    233.0    69.4    1.0    136.1    338.0    16.4  
 3.0    7.0    12.0    0.0    2.0    1.0    229.0    246.3    3.0    295.0    315.9    4.0    61.0    1.0    112.0    2.0    61.0    1.0    229.0    295.0    112.0    2.0    246.3    315.9    51.0  
 3.0    7.0    12.0    0.0    2.0    0.0    135.0    121.9    2.0    243.0    213.6    3.0    299.0    4.0    63.0    1.0    299.0    4.0    135.0    243.0    63.0    1.0    121.9    213.6    124.0  
 3.0    7.0    5.0    0.0    1.0    0.0    49.0    30.6    1.0    331.0    309.5    4.0    249.0    3.0    123.0    2.0    249.0    3.0    49.0    331.0    123.0    2.0    30.6    309.5    126.0  
 1.0    7.0    12.0    -1.0    2.0    0.0    227.0    209.8    3.0    325.0    295.7    4.0    122.0    2.0    24.0    1.0    227.0    3.0    325.0    122.0    209.8    3.0    295.7    24.0    17.2  
 3.0    7.0    5.0    0.0    1.0    1.0    336.0    325.5    4.0    50.0    23.2    1.0    131.0    2.0    233.0    3.0    131.0    2.0    336.0    50.0    233.0    3.0    325.5    23.2    102.0  
 1.0    7.0    5.0    1.0    1.0    0.0    221.0    231.6    3.0    309.0    335.2    4.0    31.0    1.0    120.0    2.0    221.0    3.0    309.0    31.0    231.6    3.0    335.2    120.0    10.6  
 3.0    7.0    12.0    0.0    2.0    0.0    327.0    316.0    4.0    243.0    216.8    3.0    118.0    2.0    46.0    1.0    118.0    2.0    327.0    243.0    46.0    1.0    316.0    216.8    72.0  
 1.0    7.0    12.0    -1.0    2.0    0.0    47.0    28.8    1.0    231.0    205.4    3.0    120.0    2.0    293.0    4.0    47.0    1.0    231.0    120.0    28.8    1.0    205.4    293.0    18.2  
 1.0    7.0    12.0    -1.0    2.0    0.0    138.0    123.4    2.0    337.0    315.1    4.0    49.0    1.0    226.0    3.0    138.0    2.0    337.0    49.0    123.4    2.0    315.1    226.0    14.6  
 3.0    7.0    5.0    0.0    1.0    1.0    309.0    328.1    4.0    204.0    228.2    3.0    33.0    1.0    129.0    2.0    33.0    1.0    309.0    204.0    129.0    2.0    328.1    228.2    96.0  
 1.0    7.0    5.0    -1.0    1.0    0.0    304.0    291.1    4.0    42.0    21.6    1.0    229.0    3.0    153.0    2.0    304.0    4.0    42.0    229.0    291.1    4.0    21.6    153.0    12.9  
 3.0    7.0    12.0    0.0    2.0    0.0    21.0    32.1    1.0    309.0    338.4    4.0    132.0    2.0    222.0    3.0    132.0    2.0    21.0    309.0    222.0    3.0    32.1    338.4    90.0  
 3.0    7.0    12.0    0.0    2.0    0.0    130.0    112.7    2.0    246.0    222.6    3.0    331.0    4.0    59.0    1.0    331.0    4.0    130.0    246.0    59.0    1.0    112.7    222.6    88.0  
 1.0    7.0    5.0    -1.0    1.0    0.0    231.0    219.4    3.0    60.0    39.4    1.0    126.0    2.0    295.0    4.0    231.0    3.0    60.0    126.0    219.4    3.0    39.4    295.0    11.6  
 1.0    7.0    12.0    1.0    2.0    1.0    200.0    218.9    3.0    122.0    145.4    2.0    311.0    4.0    65.0    1.0    200.0    3.0    122.0    311.0    218.9    3.0    145.4    65.0    18.9  
 3.0    7.0    5.0    0.0    1.0    1.0    219.0    238.8    3.0    23.0    43.0    1.0    300.0    4.0    125.0    2.0    300.0    4.0    219.0    23.0    125.0    2.0    238.8    43.0    175.0  
 3.0    7.0    12.0    0.0    2.0    0.0    123.0    138.0    2.0    209.0    238.9    3.0    34.0    1.0    303.0    4.0    34.0    1.0    123.0    209.0    303.0    4.0    138.0    238.9    91.0  
 1.0    7.0    5.0    -1.0    1.0    1.0    339.0    325.7    4.0    146.0    125.6    2.0    58.0    1.0    222.0    3.0    339.0    4.0    146.0    58.0    325.7    4.0    125.6    222.0    13.3  
 1.0    7.0    12.0    -1.0    2.0    0.0    39.0    28.9    1.0    248.0    219.0    3.0    336.0    4.0    128.0    2.0    39.0    1.0    248.0    336.0    28.9    1.0    219.0    128.0    10.1  
 1.0    7.0    12.0    1.0    2.0    1.0    31.0    49.3    1.0    312.0    339.9    4.0    118.0    2.0    242.0    3.0    31.0    1.0    312.0    118.0    49.3    1.0    339.9    242.0    18.3  
 3.0    7.0    12.0    0.0    2.0    1.0    203.0    218.9    3.0    290.0    314.0    4.0    62.0    1.0    116.0    2.0    62.0    1.0    203.0    290.0    116.0    2.0    218.9    314.0    54.0  
 3.0    7.0    12.0    0.0    2.0    1.0    124.0    138.0    2.0    224.0    246.3    3.0    67.0    1.0    331.0    4.0    67.0    1.0    124.0    224.0    331.0    4.0    138.0    246.3    96.0  
 1.0    7.0    12.0    -1.0    2.0    1.0    55.0    37.6    1.0    246.0    220.3    3.0    312.0    4.0    135.0    2.0    55.0    1.0    246.0    312.0    37.6    1.0    220.3    135.0    17.4  
 1.0    7.0    5.0    1.0    1.0    1.0    38.0    49.1    1.0    120.0    141.4    2.0    311.0    4.0    228.0    3.0    38.0    1.0    120.0    311.0    49.1    1.0    141.4    228.0    11.1  
 3.0    7.0    12.0    0.0    2.0    0.0    29.0    44.6    1.0    218.0    242.2    3.0    298.0    4.0    152.0    2.0    298.0    4.0    29.0    218.0    152.0    2.0    44.6    242.2    146.0  
 1.0    7.0    12.0    1.0    2.0    1.0    113.0    123.2    2.0    40.0    66.2    1.0    306.0    4.0    206.0    3.0    113.0    2.0    40.0    306.0    123.2    2.0    66.2    206.0    10.2  
 3.0    7.0    5.0    0.0    1.0    1.0    308.0    290.4    4.0    49.0    20.4    1.0    121.0    2.0    204.0    3.0    121.0    2.0    308.0    49.0    204.0    3.0    290.4    20.4    83.0  
 1.0    7.0    12.0    -1.0    2.0    1.0    245.0    225.6    3.0    150.0    121.8    2.0    69.0    1.0    304.0    4.0    245.0    3.0    150.0    69.0    225.6    3.0    121.8    304.0    19.4  
 1.0    7.0    12.0    1.0    2.0    1.0    231.0    245.0    3.0    315.0    336.2    4.0    140.0    2.0    65.0    1.0    231.0    3.0    315.0    140.0    245.0    3.0    336.2    65.0    14.0  
 3.0    7.0    5.0    0.0    1.0    0.0    58.0    40.6    1.0    324.0    295.8    4.0    157.0    2.0    223.0    3.0    157.0    2.0    58.0    324.0    223.0    3.0    40.6    295.8    66.0  
 1.0    7.0    12.0    1.0    2.0    1.0    291.0    308.5    4.0    117.0    138.1    2.0    27.0    1.0    242.0    3.0    291.0    4.0    117.0    27.0    308.5    4.0    138.1    242.0    17.5  
 3.0    7.0    5.0    0.0    1.0    1.0    41.0    58.0    1.0    209.0    230.3    3.0    322.0    4.0    129.0    2.0    322.0    4.0    41.0    209.0    129.0    2.0    58.0    230.3    167.0  
 1.0    7.0    5.0    1.0    1.0    0.0    120.0    137.3    2.0    311.0    332.8    4.0    58.0    1.0    226.0    3.0    120.0    2.0    311.0    58.0    137.3    2.0    332.8    226.0    17.3  
 1.0    7.0    5.0    1.0    1.0    0.0    202.0    216.9    3.0    33.0    61.4    1.0    156.0    2.0    332.0    4.0    202.0    3.0    33.0    156.0    216.9    3.0    61.4    332.0    14.9  
 1.0    7.0    5.0    -1.0    1.0    0.0    155.0    142.9    2.0    238.0    212.1    3.0    301.0    4.0    37.0    1.0    155.0    2.0    238.0    301.0    142.9    2.0    212.1    37.0    12.1  
 3.0    7.0    5.0    0.0    1.0    0.0    65.0    45.9    1.0    248.0    218.4    3.0    132.0    2.0    330.0    4.0    132.0    2.0    65.0    248.0    330.0    4.0    45.9    218.4    162.0  
 1.0    7.0    12.0    -1.0    2.0    0.0    129.0    110.1    2.0    238.0    216.5    3.0    319.0    4.0    30.0    1.0    129.0    2.0    238.0    319.0    110.1    2.0    216.5    30.0    18.9  
 3.0    7.0    12.0    0.0    2.0    1.0    154.0    136.3    2.0    312.0    291.2    4.0    204.0    3.0    57.0    1.0    204.0    3.0    154.0    312.0    57.0    1.0    136.3    291.2    147.0  
 3.0    7.0    12.0    0.0    2.0    0.0    313.0    326.1    4.0    220.0    249.2    3.0    150.0    2.0    26.0    1.0    150.0    2.0    313.0    220.0    26.0    1.0    326.1    249.2    124.0  
 1.0    7.0    12.0    1.0    2.0    1.0    296.0    310.0    4.0    200.0    223.1    3.0    54.0    1.0    145.0    2.0    296.0    4.0    200.0    54.0    310.0    4.0    223.1    145.0    14.0  
 1.0    7.0    12.0    1.0    2.0    1.0    229.0    245.5    3.0    28.0    54.7    1.0    313.0    4.0    129.0    2.0    229.0    3.0    28.0    313.0    245.5    3.0    54.7    129.0    16.5  
 1.0    7.0    12.0    -1.0    2.0    0.0    322.0    307.0    4.0    249.0    227.9    3.0    143.0    2.0    25.0    1.0    322.0    4.0    249.0    143.0    307.0    4.0    227.9    25.0    15.0  
